2019-12-04T00:00:00Z	566
2019-12-03T00:00:00Z	488
2019-12-02T00:00:00Z	454
2019-12-01T00:00:00Z	37
2019-11-30T00:00:00Z	200
2019-11-29T00:00:00Z	740
2019-11-28T00:00:00Z	609
2019-11-27T00:00:00Z	603
2019-11-26T00:00:00Z	533
2019-11-25T00:00:00Z	615
2019-11-24T00:00:00Z	82
2019-11-23T00:00:00Z	58
2019-11-22T00:00:00Z	572
2019-11-21T00:00:00Z	605
2019-11-20T00:00:00Z	569
2019-11-19T00:00:00Z	480
2019-11-18T00:00:00Z	562
2019-11-17T00:00:00Z	61
2019-11-16T00:00:00Z	50
2019-11-15T00:00:00Z	619
2019-11-14T00:00:00Z	551
2019-11-13T00:00:00Z	507
2019-11-12T00:00:00Z	466
2019-11-11T00:00:00Z	521
2019-11-10T00:00:00Z	71
2019-11-09T00:00:00Z	36
2019-11-08T00:00:00Z	622
2019-11-07T00:00:00Z	521
2019-11-06T00:00:00Z	550
2019-11-05T00:00:00Z	458
2019-11-04T00:00:00Z	497
2019-11-03T00:00:00Z	48
2019-11-02T00:00:00Z	30
2019-11-01T00:00:00Z	460
2019-10-31T00:00:00Z	595
2019-10-30T00:00:00Z	517
2019-10-29T00:00:00Z	373
2019-10-28T00:00:00Z	447
2019-10-27T00:00:00Z	63
2019-10-26T00:00:00Z	31
2019-10-25T00:00:00Z	525
2019-10-24T00:00:00Z	495
2019-10-23T00:00:00Z	529
2019-10-22T00:00:00Z	467
2019-10-21T00:00:00Z	508
2019-10-20T00:00:00Z	66
2019-10-19T00:00:00Z	42
2019-10-18T00:00:00Z	414
2019-10-17T00:00:00Z	438
2019-10-16T00:00:00Z	446
2019-10-15T00:00:00Z	439
2019-10-14T00:00:00Z	486
2019-10-13T00:00:00Z	64
2019-10-12T00:00:00Z	399
2019-10-11T00:00:00Z	446
2019-10-10T00:00:00Z	432
2019-10-09T00:00:00Z	344
2019-10-08T00:00:00Z	237
2019-10-07T00:00:00Z	13
2019-10-06T00:00:00Z	0
2019-10-05T00:00:00Z	5
2019-10-04T00:00:00Z	4
2019-10-03T00:00:00Z	0
2019-10-02T00:00:00Z	7
2019-10-01T00:00:00Z	8
2019-09-30T00:00:00Z	0
2019-09-29T00:00:00Z	641
2019-09-28T00:00:00Z	148
2019-09-27T00:00:00Z	762
2019-09-26T00:00:00Z	637
2019-09-25T00:00:00Z	635
2019-09-24T00:00:00Z	570
2019-09-23T00:00:00Z	590
2019-09-22T00:00:00Z	72
2019-09-21T00:00:00Z	71
2019-09-20T00:00:00Z	689
2019-09-19T00:00:00Z	477
2019-09-18T00:00:00Z	545
2019-09-17T00:00:00Z	474
2019-09-16T00:00:00Z	530
2019-09-15T00:00:00Z	56
2019-09-14T00:00:00Z	32
2019-09-13T00:00:00Z	42
2019-09-12T00:00:00Z	662
2019-09-11T00:00:00Z	571
2019-09-10T00:00:00Z	404
2019-09-09T00:00:00Z	530
